# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
51000 8.26514 8.43104 8.82288 25.5191
51100 8.22335 8.65445 8.59451 25.4723
51200 8.17114 8.53726 8.27228 24.9807
51300 8.22549 8.33255 8.34348 24.9015
51400 8.34931 8.46148 7.99488 24.8057
51500 7.97759 8.14684 8.32328 24.4477
51600 8.27511 8.26018 8.55743 25.0927
51700 8.17344 8.58106 8.47952 25.234
51800 8.44642 8.39343 8.04496 24.8848
51900 8.4859 8.39436 8.06631 24.9466
52000 8.26076 8.25395 8.64602 25.1607
52100 8.30921 8.42716 8.16638 24.9028
52200 8.80112 8.57633 8.50079 25.8782
52300 9.03532 8.47804 8.55296 26.0663
52400 8.199 8.56932 8.46036 25.2287
52500 8.44983 8.21191 8.55113 25.2129
52600 8.59062 8.48775 8.42131 25.4997
52700 8.6934 8.34527 8.64256 25.6812
52800 8.50804 8.53859 8.38152 25.4282
52900 8.40675 8.50068 8.4483 25.3557
53000 8.67745 8.29359 8.20935 25.1804
53100 8.78264 8.52646 8.52618 25.8353
53200 8.25641 8.54151 8.55022 25.3481
53300 8.20756 8.52371 8.55943 25.2907
53400 8.50982 8.45606 8.56753 25.5334
53500 8.63704 8.43463 8.89895 25.9706
53600 8.46655 8.10065 9.13405 25.7013
53700 7.87011 8.02665 8.79371 24.6905
53800 8.35838 7.96455 8.5801 24.903
53900 8.37813 8.22743 9.06808 25.6736
54000 8.64638 7.85346 8.95883 25.4587
54100 8.30835 8.40645 8.5573 25.2721
54200 8.189 8.43337 8.93407 25.5564
54300 7.96649 8.79604 9.1344 25.8969
54400 8.29949 8.77043 8.69233 25.7623
54500 8.22053 8.12227 9.14125 25.484
54600 8.39665 8.54118 8.7481 25.6859
54700 8.25779 9.43667 9.00975 26.7042
54800 8.58822 9.19725 9.19154 26.977
54900 8.62374 8.79083 9.68629 27.1009
55000 8.36168 9.20624 9.63624 27.2042
55100 8.69533 9.42383 9.57227 27.6914
55200 8.24952 9.68719 9.32276 27.2595
55300 8.94882 9.79274 9.47054 28.2121
55400 8.54018 9.28872 9.55752 27.3864
55500 8.84376 9.04193 9.48652 27.3722
55600 8.71131 8.38086 9.40703 26.4992
55700 8.83334 8.84918 9.1888 26.8713
55800 8.71572 9.00073 9.3138 27.0303
55900 8.57219 8.56169 9.58846 26.7223
56000 8.4077 8.91491 8.9051 26.2277
56100 8.76227 8.79914 9.39199 26.9534
56200 8.59905 9.01704 9.19867 26.8148
56300 8.18046 8.83326 8.9666 25.9803
56400 8.51515 9.26335 9.11114 26.8896
56500 8.3205 9.49872 9.4723 27.2915
56600 8.82671 9.09049 9.54694 27.4641
56700 9.33229 9.05063 9.34939 27.7323
56800 8.86814 9.20427 9.90874 27.9812
56900 8.65283 8.70076 9.20266 26.5562
57000 8.71503 8.84933 9.67311 27.2375
57100 9.11069 9.15031 9.55462 27.8156
57200 9.31826 9.17205 9.51119 28.0015
57300 9.46295 8.83379 9.43561 27.7323
57400 9.54644 8.87347 9.68889 28.1088
57500 9.1587 8.79944 9.34163 27.2998
57600 8.61825 8.64682 9.50394 26.769
57700 8.95345 9.25614 9.46193 27.6715
57800 9.14183 9.04302 9.5874 27.7722
57900 9.03365 9.03733 9.66901 27.74
58000 8.79575 8.84344 9.72204 27.3612
58100 8.72174 8.91659 10.1108 27.7492
58200 8.57094 9.19383 9.76544 27.5302
58300 9.16433 9.04491 9.88047 28.0897
58400 8.65068 8.85397 9.68953 27.1942
58500 8.63917 8.875 9.29327 26.8074
58600 8.79544 9.08349 9.53326 27.4122
58700 8.89162 9.21165 9.91214 28.0154
